2023-04-17 12:00:04.272 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:04.272 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:04.272 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:04.381 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:04.381 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:04.381 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:04.381 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:04.928 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:04.928 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:04.928 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:04.928 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.038 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.038 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.038 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.038 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.444 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.444 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.444 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.444 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.553 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.553 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.553 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.553 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:05.944 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.944 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.944 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:05.944 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.053 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.053 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.053 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.053 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.413 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.413 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.413 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.413 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.522 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.522 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.522 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.522 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:06.897 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.897 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.897 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:06.897 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:07.006 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:07.006 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:07.006 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:07.006 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:07.663 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:07.663 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:07.663 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:07.663 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:07.772 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:07.772 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:07.772 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:07.772 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:08.475 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:08.475 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:08.475 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:08.475 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:08.600 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:08.600 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:08.600 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:08.600 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.053 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.053 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.053 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.053 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.178 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.178 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.178 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.178 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.538 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.538 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.538 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.538 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:09.647 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.647 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.647 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:09.647 | INFO     | utils.my_mysql_add:insert:230 - 入库成功
2023-04-17 12:00:10.038 | INFO     | __main__:wb_start:102 - 更新完成
2023-04-17 12:00:10.038 | INFO     | __main__:wb_start:102 - 更新完成
